iter	Passed	Remaining
0	5	545
1	9	456
2	37	1200
3	39	958
4	67	1277
5	87	1369
6	91	1218
7	102	1183
8	109	1106
9	113	1021
10	122	987
11	126	931
12	130	872
13	134	824
14	137	780
15	141	741
16	145	712
17	150	683
18	155	663
19	160	641
20	167	630
21	172	611
22	176	589
23	179	569
24	189	569
25	195	556
26	200	543
27	204	525
28	207	508
29	210	491
30	214	477
31	218	464
32	225	457
33	230	447
34	234	434
35	237	422
36	245	417
37	249	406
38	252	395
39	259	388
40	263	379
41	265	366
42	269	357
43	277	353
44	286	350
45	294	346
46	299	338
47	303	329
48	314	327
49	320	320
50	324	311
51	332	307
52	336	298
53	341	290
54	343	281
55	347	273
56	354	267
57	358	259
58	363	252
59	370	246
60	375	239
61	379	232
62	405	238
63	419	236
64	427	230
65	435	224
66	439	216
67	443	208
68	446	200
69	451	193
70	462	188
71	470	182
72	474	175
73	481	169
74	492	164
75	498	157
76	504	150
77	508	143
78	512	136
79	515	128
80	518	121
81	523	114
82	535	109
83	539	102
84	543	95
85	546	89
86	549	82
87	557	76
88	561	69
89	564	62
90	567	56
91	575	50
92	579	43
93	583	37
94	586	30
95	590	24
96	593	18
97	596	12
98	600	6
99	603	0
