iter	Passed	Remaining
0	197	197791
1	213	106778
2	219	72871
3	228	56842
4	233	46416
5	246	40878
6	255	36230
7	259	32217
8	264	29158
9	269	26718
10	275	24780
11	282	23236
12	288	21939
13	295	20804
14	303	19927
15	309	19040
16	316	18325
17	324	17722
18	331	17102
19	335	16446
20	341	15916
21	350	15582
22	366	15581
23	392	15954
24	396	15460
25	401	15024
26	406	14641
27	410	14246
28	413	13844
29	418	13533
30	421	13187
31	425	12875
32	429	12597
33	434	12351
34	438	12095
35	444	11912
36	449	11695
37	455	11528
38	458	11300
39	462	11111
40	466	10906
41	470	10736
42	475	10583
43	479	10411
44	482	10247
45	487	10109
46	492	9989
47	498	9881
48	506	9822
49	510	9695
50	514	9576
51	522	9532
52	527	9425
53	532	9326
54	538	9250
55	542	9139
56	546	9043
57	551	8962
58	557	8883
59	562	8807
60	567	8733
61	573	8673
62	578	8603
63	581	8510
64	587	8444
65	599	8483
66	608	8473
67	623	8544
68	631	8526
69	645	8570
70	649	8495
71	654	8435
72	658	8361
73	664	8316
74	673	8305
75	677	8237
76	684	8204
77	690	8165
78	701	8177
79	705	8109
80	713	8094
81	718	8041
82	720	7959
83	727	7932
84	730	7865
85	733	7799
86	738	7748
87	744	7711
88	750	7677
89	757	7662
90	761	7604
91	765	7553
92	780	7612
93	807	7787
94	819	7806
95	829	7811
96	837	7798
97	847	7796
98	851	7745
99	860	7742
100	865	7704
101	877	7725
102	892	7775
103	895	7718
104	899	7663
105	902	7612
106	907	7576
107	911	7524
108	921	7530
109	926	7500
110	930	7455
111	935	7418
112	939	7377
113	950	7389
114	960	7391
115	969	7391
116	972	7342
117	981	7338
118	987	7313
119	992	7278
120	996	7240
121	1000	7197
122	1030	7347
123	1046	7395
124	1051	7363
125	1056	7326
126	1058	7279
127	1065	7258
128	1076	7265
129	1080	7229
130	1084	7195
131	1097	7219
132	1147	7481
133	1151	7444
134	1156	7410
135	1162	7384
136	1166	7348
137	1171	7315
138	1175	7281
139	1179	7245
140	1183	7210
141	1186	7166
142	1189	7131
143	1193	7096
144	1197	7061
145	1202	7031
146	1205	6997
147	1209	6961
148	1216	6948
149	1221	6919
150	1225	6888
151	1231	6872
152	1236	6844
153	1239	6810
154	1245	6790
155	1251	6770
156	1255	6741
157	1260	6718
158	1271	6725
159	1282	6733
160	1285	6696
161	1291	6680
162	1296	6658
163	1302	6641
164	1306	6612
165	1311	6589
166	1317	6570
167	1322	6548
168	1327	6528
169	1334	6513
170	1340	6500
171	1351	6508
172	1361	6507
173	1364	6477
174	1371	6466
175	1380	6465
176	1384	6438
177	1390	6421
178	1394	6393
